Id,Class
0,1
1,1
2,1
3,1
4,1
5,1
6,4
7,1
8,4
9,7
10,7
11,7
12,4
13,5
14,5
15,5
16,5
17,8
18,5
19,8
20,3
21,1
22,1
23,1
24,1
25,1
26,1
27,2
28,2
29,2
30,4
31,4
32,4
33,2
34,2
35,9
36,6
37,6
38,6
39,9
40,9
41,9
42,1
43,1
44,1
45,0
46,0
47,0
48,4
49,4
50,4
51,5
52,5
53,5
54,3
55,3
56,3
57,3
58,3
59,0
60,3
61,3
62,6
63,5
64,4
65,4
66,4
67,4
68,4
69,3
70,3
71,3
72,7
73,7
74,7
75,9
76,9
77,9
78,3
79,3
80,3
81,0
82,0
83,0
84,3
85,3
86,3
87,7
88,7
89,7
90,2
91,2
92,2
93,6
94,6
95,6
96,2
97,2
98,2
99,1
100,1
101,1
102,1
103,1
104,1
105,2
106,2
107,2
108,9
109,0
110,0
111,3
112,3
113,3
114,0
115,0
116,0
117,0
118,0
119,0
120,1
121,1
122,1
123,2
124,2
125,2
126,7
127,7
128,7
129,9
130,9
131,9
132,2
133,2
134,2
135,8
136,2
137,8
138,3
139,3
140,3
141,1
142,1
143,1
144,5
145,4
146,3
147,5
148,5
149,5
150,4
151,4
152,4
153,4
154,4
155,4
156,7
157,7
158,7
159,5
160,0
161,0
162,5
163,5
164,5
165,9
166,9
167,9
168,8
169,8
170,8
171,5
172,7
173,3
174,8
175,0
176,8
177,4
178,4
179,4
180,5
181,5
182,5
183,0
184,0
185,0
186,7
187,7
188,7
189,1
190,1
191,1
192,3
193,3
194,3
195,0
196,0
197,3
198,2
199,2
200,2
201,1
202,1
203,1
204,2
205,2
206,2
207,0
208,0
209,0
210,0
211,0
212,0
213,3
214,3
215,3
216,0
217,0
218,0
219,0
220,0
221,0
222,1
223,1
224,1
225,3
226,3
227,3
228,7
229,7
230,7
231,0
232,0
233,0
234,2
235,2
236,2
237,3
238,3
239,3
240,3
241,3
242,3
243,3
244,3
245,3
246,8
247,8
248,8
249,1
250,1
251,1
252,4
253,4
254,4
255,1
256,1
257,1
258,8
259,8
260,8
261,0
262,0
263,0
264,9
265,9
266,9
267,1
268,1
269,1
270,2
271,2
272,2
273,4
274,4
275,4
276,2
277,2
278,2
279,6
280,6
281,6
282,5
283,5
284,5
285,1
286,1
287,1
288,7
289,7
290,7
291,8
292,8
293,8
294,5
295,5
296,5
297,1
298,1
299,1
300,3
301,3
302,8
303,4
304,4
305,4
306,0
307,0
308,0
309,2
310,2
311,2
312,8
313,9
314,9
315,2
316,9
317,9
318,1
319,1
320,1
321,2
322,2
323,2
324,6
325,6
326,6
327,1
328,1
329,1
330,8
331,8
332,8
333,3
334,3
335,3
336,7
337,1
338,1
339,4
340,4
341,4
342,8
343,8
344,8
345,3
346,3
347,3
348,2
349,2
350,2
351,4
352,4
353,4
354,1
355,1
356,1
357,2
358,2
359,2
360,2
361,2
362,2
363,8
364,8
365,8
366,1
367,1
368,1
369,3
370,3
371,3
372,0
373,0
374,0
375,2
376,2
377,2
378,1
379,1
380,1
381,3
382,9
383,8
384,1
385,1
386,1
387,8
388,9
389,9
390,4
391,5
392,5
393,1
394,1
395,1
396,6
397,6
398,6
399,7
400,7
401,7
402,0
403,0
404,0
405,8
406,8
407,8
408,3
409,3
410,3
411,0
412,0
413,0
414,5
415,5
416,5
417,9
418,9
419,9
420,9
421,9
422,9
423,8
424,8
425,8
426,2
427,2
428,2
429,4
430,4
431,5
432,8
433,1
434,5
435,8
436,8
437,8
438,9
439,9
440,9
441,1
442,1
443,1
444,0
445,0
446,0
447,0
448,0
449,0
450,4
451,5
452,5
453,5
454,4
455,5
456,2
457,2
458,2
459,5
460,8
461,5
462,6
463,6
464,6
465,7
466,7
467,7
468,8
469,8
470,8
471,4
472,4
473,4
474,9
475,9
476,9
477,6
478,6
479,6
480,1
481,0
482,9
483,7
484,7
485,7
486,8
487,8
488,8
489,8
490,8
491,8
492,1
493,1
494,1
495,2
496,2
497,2
498,5
499,5
500,5
501,9
502,9
503,9
504,0
505,0
506,0
507,2
508,2
509,2
510,3
511,3
512,3
513,3
514,3
515,3
516,0
517,0
518,0
519,8
520,8
521,8
522,0
523,0
524,0
525,3
526,3
527,3
528,5
529,5
530,5
531,9
532,9
533,9
534,0
535,0
536,0
537,5
538,5
539,1
540,2
541,2
542,2
543,0
544,0
545,0
546,1
547,1
548,1
549,3
550,3
551,3
552,2
553,2
554,2
555,4
556,4
557,4
558,5
559,5
560,5
561,2
562,2
563,2
564,2
565,2
566,2
567,5
568,5
569,5
570,3
571,6
572,9
573,3
574,3
575,3
576,4
577,4
578,3
579,5
580,5
581,5
582,9
583,8
584,8
585,3
586,3
587,3
588,5
589,4
590,4
591,3
592,3
593,3
594,0
595,0
596,0
597,6
598,6
599,6
600,5
601,5
602,5
603,0
604,0
605,0
606,3
607,3
608,3
609,4
610,4
611,4
612,0
613,0
614,0
615,0
616,0
617,0
618,5
619,4
620,4
621,2
622,2
623,2
624,0
625,0
626,0
627,9
628,9
629,9
630,0
631,0
632,0
633,8
634,8
635,8
636,7
637,7
638,7
639,3
640,3
641,3
642,6
643,6
644,6
645,2
646,2
647,2
648,0
649,8
650,8
651,2
652,2
653,2
654,0
655,0
656,0
657,0
658,0
659,0
660,6
661,6
662,6
663,5
664,5
665,5
666,1
667,1
668,1
669,8
670,8
671,8
672,0
673,0
674,0
675,2
676,2
677,2
678,7
679,7
680,7
681,7
682,7
683,7
684,1
685,1
686,1
687,0
688,0
689,0
690,3
691,3
692,3
693,2
694,2
695,2
696,6
697,6
698,6
699,6
700,6
701,6
702,4
703,4
704,4
705,8
706,8
707,8
708,2
709,2
710,2
711,6
712,6
713,6
714,0
715,0
716,0
717,5
718,4
719,4
720,3
721,3
722,3
723,9
724,9
725,9
726,4
727,4
728,4
729,9
730,9
731,9
732,9
733,9
734,9
735,6
736,6
737,6
738,1
739,1
740,1
741,6
742,6
743,6
744,8
745,8
746,8
747,8
748,8
749,8
750,0
751,0
752,0
753,3
754,3
755,3
756,9
757,9
758,8
759,2
760,2
761,2
762,1
763,1
764,1
765,2
766,2
767,2
768,5
769,5
770,5
771,0
772,0
773,0
774,2
775,2
776,2
777,3
778,3
779,3
780,3
781,3
782,3
783,2
784,2
785,2
786,0
787,0
788,0
789,5
790,5
791,5
792,6
793,6
794,6
795,1
796,1
797,1
798,1
799,1
800,1
801,5
802,5
803,5
804,5
805,5
806,5
807,1
808,1
809,1
810,1
811,1
